Mount Coot-tha Botanic Gardens,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,walk,8.7,1:50,,
Mount Coot-tha Botanic Gardens,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,cycle,8.5,0:33,,
University of Queensland,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,car,9.8,0:14,peak=0:20,
University of Queensland,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,pubtrans,9.87,0:35,,
University of Queensland,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,walk,9.4,1:58,,
University of Queensland,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,cycle,9.8,0:38,,
Sydney Airport,NSW,Australia,Darling Harbour,NSW,Australia,car,13.8,0:16,peak=0:30,
Sydney Airport,NSW,Australia,Darling Harbour,NSW,Australia,pubtrans,14.65,0:27,,
Sydney Airport,NSW,Australia,Darling Harbour,NSW,Australia,walk,6.9,1:27,,
Sydney Airport,NSW,Australia,Darling Harbour,NSW,Australia,cycle,7.2,0:26,,
Sydney Airport,NSW,Australia,Royal Botanic Gardens,NSW,Australia,car,11.4,0:12,peak=0:18,
Sydney Airport,NSW,Australia,Royal Botanic Gardens,NSW,Australia,pubtrans,11.75,0:24,,
Sydney Airport,NSW,Australia,Royal Botanic Gardens,NSW,Australia,walk,8.4,1:47,,
Sydney Airport,NSW,Australia,Royal Botanic Gardens,NSW,Australia,cycle,9,0:38,,
Darling Harbour,NSW,Australia,Royal Botanic Gardens,NSW,Australia,car,2.1,0:06,peak=0:16,
Darling Harbour,NSW,Australia,Royal Botanic Gardens,NSW,Australia,pubtrans,3,0:20,,
Darling Harbour,NSW,Australia,Royal Botanic Gardens,NSW,Australia,walk,2.6,0:34,,
Darling Harbour,NSW,Australia,Royal Botanic Gardens,NSW,Australia,cycle,3.5,0:17,,
Darling Harbour,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,car,2.4,0:03,,
Darling Harbour,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,pubtrans,3.1,0:16,,
Darling Harbour,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,walk,2.4,0:31,,
Darling Harbour,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,cycle,3.9,0:15,,
Royal Botanic Gardens,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,car,2.1,0:03,,
Royal Botanic Gardens,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,walk,1.3,0:17,,
Royal Botanic Gardens,NSW,Australia,Sydney Harbour Bridge,NSW,Australia,cycle,2.1,0:13,,
Royal Botanic Gardens,NSW,Australia,Sydney Opera House,NSW,Australia,car,0.6,0:02,,
Royal Botanic Gardens,NSW,Australia,Sydney Opera House,NSW,Australia,walk,0.4,0:05,,
Royal Botanic Gardens,NSW,Australia,Sydney Opera House,NSW,Australia,cycle,1.5,0:10,,
Darling Harbour,NSW,Australia,University of Sydney,NSW,Australia,car,2.4,0:07,peak=0:14,
Darling Harbour,NSW,Australia,University of Sydney,NSW,Australia,pubtrans,3.15,0:24,,
Darling Harbour,NSW,Australia,University of Sydney,NSW,Australia,walk,2.2,0:29,,
Darling Harbour,NSW,Australia,University of Sydney,NSW,Australia,cycle,3.8,0:16,,
Sydney Airport,NSW,Australia,University of Sydney,NSW,Australia,car,6.7,0:14,peak=0:40,
Sydney Airport,NSW,Australia,University of Sydney,NSW,Australia,pubtrans,6.82,0:28,,
Sydney Airport,NSW,Australia,University of Sydney,NSW,Australia,walk,5.8,1:14,,
Sydney Airport,NSW,Australia,University of Sydney,NSW,Australia,cycle,6.4,0:26,,
